frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
123,181,24.405,6.85,88.39,0.3,0.0219,0,0,0,0,16,70,on_bump
124,182,24.481,7.47,76.61,0.3,0.0306,0,0,0,0,16,66,
125,183,24.785,7.05,138.1,0.3,-0.0305,0,0,0,0,16,61,on_bump
126,184,24.9,7.22,114.2,0.3,-0.0218,0,0,0,0,16,65,
127,186,25.218,6.81,143.09,0.3,-0.0131,0,0,0,0,16,65,on_bump
128,187,25.317,7.14,98.9,0.3,-0.0044,0,0,0,0,16,63,on_bump
129,188,25.534,6.88,91.46,0.3,0.0043,0,0,0,0,16,63,on_bump
130,189,25.659,7,124.46,0.3,0.013,0,0,0,0,16,63,on_bump
131,191,25.954,6.64,115.69,0.3,0.0217,0,0,0,0,16,60,on_bump
132,192,26.103,6.65,148.34,0.3,0.0304,0,0,0,0,16,70,on_bump
133,194,26.482,6.25,165.88,0.3,-0.0308,0,0,0,0,16,60,on_bump
134,195,26.594,6.51,111.04,0.3,-0.0221,0,0,0,0,16,63,on_bump
135,196,26.788,6.37,72.17,0.3,-0.0134,0,0,0,0,16,60,
136,196,26.847,7.44,58.38,0.3,-0.0047,0,0,0,0,16,60,
137,198,27.068,7.15,86.58,0.3,0.004,0,0,0,0,16,60,on_bump
138,199,27.165,7.47,96.43,0.3,0.0127,0,0,0,0,16,60,
139,200,27.365,7.22,62.48,0.3,0.0214,0,0,0,0,16,60,
140,201,27.447,7.72,81.57,0.3,0.0301,0,0,0,0,16,60,on_bump
141,203,27.652,7.44,78.44,0.3,-0.031,0,0,0,0,16,60,on_bump
142,204,27.734,7.91,82.09,0.3,-0.0223,0,0,0,0,16,60,on_bump
143,205,27.925,7.64,79.78,0.3,-0.0137,0,0,0,0,16,61,on_bump
144,206,28.016,7.98,90.51,0.3,-0.005,0,0,0,0,16,68,on_bump
145,208,28.256,7.6,117.15,0.3,0.0037,0,0,0,0,16,70,on_bump
146,208,28.34,8.03,82.39,0.3,0.0124,0,0,0,0,16,70,on_bump
147,210,28.587,7.63,107.23,0.3,0.0211,0,0,0,0,16,70,on_bump
