frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
163,239,27.969,8.09,79.8,0.3,0.0206,0,0,0,0,16,65,
164,240,28.055,8.45,85.64,0.3,0.0293,0,0,0,0,16,63,
165,241,28.235,8.16,75.91,0.3,-0.0319,0,0,0,0,16,61,
166,242,28.319,8.54,83.35,0.3,-0.0232,0,0,0,0,16,61,
167,244,28.542,8.13,92.73,0.3,-0.0145,0,0,0,0,16,63,
168,245,28.625,8.52,83.58,0.3,-0.0058,0,0,0,0,16,64,
169,247,28.841,8.13,89.22,0.3,0.0029,0,0,0,0,16,67,
170,248,28.923,8.52,82.7,0.3,0.0116,0,0,0,0,16,61,
171,249,29.133,8.15,87.35,0.3,0.0203,0,0,0,0,16,62,
172,250,29.228,8.38,94.74,0.3,0.029,0,0,0,0,16,64,
173,252,29.442,8.01,90.35,0.3,-0.0321,0,0,0,0,16,65,
174,253,29.527,8.39,84.36,0.3,-0.0234,0,0,0,0,16,61,
175,254,29.713,8.09,69.75,0.3,-0.0148,0,0,0,0,16,65,
176,255,29.799,8.44,86.26,0.3,-0.0061,0,0,0,0,16,64,
177,257,30.01,8.07,82.48,0.3,0.0026,0,0,0,0,16,64,
178,258,30.096,8.43,85.79,0.3,0.0113,0,0,0,0,16,63,
179,259,30.346,7.98,115.78,0.3,0.02,0,0,0,0,16,63,
180,260,30.441,8.24,92.7,0.3,0.0287,0,0,0,0,16,64,
181,262,30.642,7.92,76.76,0.3,-0.0324,0,0,0,0,16,62,
182,263,30.722,8.38,79.47,0.3,-0.0237,0,0,0,0,16,64,
183,264,30.913,8.06,69.96,0.3,-0.015,0,0,0,0,16,62,
184,265,30.989,8.59,75.01,0.3,-0.0063,0,0,0,0,16,62,
185,267,31.18,8.25,71.54,0.3,0.0024,0,0,0,0,16,65,
186,268,31.263,8.62,83.12,0.3,0.011,0,0,0,0,16,63,
187,269,31.454,8.29,81.56,0.3,0.0197,0,0,0,0,16,62,
188,270,31.535,8.69,80.79,0.3,0.0284,0,0,0,0,16,61,
189,272,31.723,8.35,64.96,0.3,-0.0327,0,0,0,0,16,61,
190,272,31.797,8.88,73.15,0.3,-0.024,0,0,0,0,16,62,
191,274,31.999,8.49,78.43,0.3,-0.0153,0,0,0,0,16,61,
192,275,32.082,8.84,83.07,0.3,-0.0066,0,0,0,0,16,63,
193,277,32.267,8.5,62.47,0.3,0.0021,0,0,0,0,16,61,
194,277,32.34,9.02,72.83,0.3,0.0108,0,0,0,0,16,63,
195,279,32.575,8.54,99.24,0.3,0.0195,0,0,0,0,16,63,
196,280,32.66,8.86,85.36,0.3,0.0282,0,0,0,0,16,64,
197,281,32.833,8.55,53.74,0.3,-0.033,0,0,0,0,16,61,
198,282,32.897,9.25,64.05,0.3,-0.0243,0,0,0,0,16,61,
199,283,33.064,8.92,66.33,0.3,-0.0156,0,0,0,0,16,65,
200,284,33.149,9.21,84.87,0.3,-0.0069,0,0,0,0,16,65,
201,285,33.335,8.83,78.85,0.3,0.0018,0,0,0,0,16,65,
202,286,33.417,9.16,82.05,0.3,0.0105,0,0,0,0,16,65,
203,288,33.647,8.68,88.47,0.3,0.0192,0,0,0,0,16,64,
204,289,33.729,9.03,81.67,0.3,0.0279,0,0,0,0,16,66,
